
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:27:35 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:18:22 PM;22;26;lm3front;lm2(Barn);(-0.375, 0.000, -0.927);(-0.142, 0.000, -0.987);13.846
7/30/2022 1:18:22 PM;23;27;lm3front;lm4(Fcapsule);(0.104, 0.000, 0.995);(-0.161, 0.000, -0.985);176.709
7/30/2022 1:18:24 PM;24;29;lm3front;lm6(Struct_Pavilion_B);(-0.986, 0.000, 0.164);(-0.207, 0.000, -0.978);87.540
7/30/2022 1:18:25 PM;25;30;lm3front;lm6(Struct_Pavilion_B);(-0.986, 0.000, 0.164);(-0.199, 0.000, -0.980);87.963
7/30/2022 1:18:29 PM;26;31;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(-0.393, 0.000, -0.919);31.466
7/30/2022 1:18:30 PM;27;32;lm5front;lm2(Barn);(0.013, 0.000, -1.000);(-0.412, 0.000, -0.911);25.054
7/30/2022 1:18:30 PM;28;33;lm5front;lm3(Car);(0.470, 0.000, -0.882);(-0.419, 0.000, -0.908);52.780
7/30/2022 1:18:31 PM;29;34;lm5front;lm4(Fcapsule);(0.905, 0.000, -0.426);(-0.428, 0.000, -0.904);90.122
7/30/2022 1:18:32 PM;30;36;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.409, 0.000, -0.912);11.311
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:19:54 PM;;;;;;;
7/30/2022 1:20:21 PM;0;1;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(-0.837, 0.000, 0.548);131.529
7/30/2022 1:20:22 PM;1;2;lm5front;lm2(Barn);(0.013, 0.000, -1.000);(-0.837, 0.000, 0.548);123.957
7/30/2022 1:20:37 PM;2;3;lm5front;lm3(Car);(0.470, 0.000, -0.882);(-0.930, 0.000, -0.309);99.666
7/30/2022 1:20:38 PM;3;4;lm5front;lm4(Fcapsule);(0.905, 0.000, -0.426);(-0.932, 0.000, -0.286);137.713
7/30/2022 1:20:42 PM;4;5;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.098, 0.000, -0.979);29.783
7/30/2022 1:20:43 PM;5;6;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.090, 0.000, -0.977);30.238
7/30/2022 1:20:45 PM;6;8;lm2front;lm3(Car);(0.421, 0.000, 0.906);(-0.106, 0.000, -0.994);161.167
7/30/2022 1:20:52 PM;7;9;lm2front;lm4(Fcapsule);(0.294, 0.000, 0.956);(0.161, 0.000, -0.980);153.587
7/30/2022 1:20:53 PM;8;10;lm2front;lm5(CobbleRock_E);(-0.010, 0.000, 1.000);(0.194, 0.000, -0.977);169.389
7/30/2022 1:20:54 PM;9;11;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(0.188, 0.000, -0.978);167.570
7/30/2022 1:20:56 PM;10;12;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(0.190, 0.000, -0.980);167.674
7/30/2022 1:21:01 PM;11;13;lm1front;lm2(Barn);(-0.902, 0.000, 0.423);(0.919, 0.000, -0.393);177.999
7/30/2022 1:21:02 PM;12;15;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(0.933, 0.000, -0.358);104.207
7/30/2022 1:21:02 PM;13;16;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(0.935, 0.000, -0.354);119.882
7/30/2022 1:21:03 PM;14;17;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(0.930, 0.000, -0.367);143.273
7/30/2022 1:21:03 PM;15;18;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(0.942, 0.000, -0.335);141.329
7/30/2022 1:21:07 PM;16;19;lm4front;lm1(RoofPiece_A);(-0.134, 0.000, -0.991);(-0.386, 0.000, -0.919);15.058
7/30/2022 1:21:07 PM;17;20;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.405, 0.000, -0.914);6.956
7/30/2022 1:21:08 PM;18;22;lm4front;lm5(CobbleRock_E);(-0.936, 0.000, 0.350);(-0.455, 0.000, -0.888);83.378
7/30/2022 1:21:09 PM;19;23;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-0.444, 0.000, -0.894);38.967
